# ell,D_ell
2,9.2292109884e+02
3,8.7406873018e+02
4,8.3078517945e+02
5,8.0197864226e+02
6,7.8504076687e+02
7,7.7608875873e+02
8,7.7248306414e+02
9,7.7348674992e+02
10,7.7773562379e+02
11,7.8397061031e+02
12,7.9321396896e+02
13,8.0344135305e+02
14,8.1467429418e+02
15,8.2618969206e+02
16,8.3962080388e+02
17,8.5482629852e+02
18,8.7073456590e+02
19,8.8812333758e+02
20,9.0539812351e+02
21,9.2331665481e+02
22,9.4195676736e+02
23,9.6089293015e+02
24,9.8039266526e+02
25,1.0005746046e+03
26,1.0209513181e+03
27,1.0419690660e+03
28,1.0634996159e+03
29,1.0854886905e+03
30,1.1081358419e+03
31,1.1307768944e+03
32,1.1541602042e+03
33,1.1777705006e+03
34,1.2016145356e+03
35,1.2262874333e+03
36,1.2508957979e+03
37,1.2759595442e+03
38,1.3015768005e+03
39,1.3276422958e+03
40,1.3540686214e+03
41,1.3807641229e+03
42,1.4077315878e+03
43,1.4349844147e+03
44,1.4625731437e+03
45,1.4905631717e+03
46,1.5189210357e+03
47,1.5476263909e+03
48,1.5766491729e+03
49,1.6059741739e+03
50,1.6356530413e+03
51,1.6657415672e+03
52,1.6961858416e+03
53,1.7269138140e+03
54,1.7579054325e+03
55,1.7891555020e+03
56,1.8207745656e+03
57,1.8528607052e+03
58,1.8853677491e+03
59,1.9182049551e+03
60,1.9513484364e+03
61,1.9848024745e+03
62,2.0185725982e+03
63,2.0526776483e+03
64,2.0871216086e+03
65,2.1219307480e+03
66,2.1571427343e+03
67,2.1927368341e+03
68,2.2286739994e+03
69,2.2649077540e+03
70,2.3014064782e+03
71,2.3381461308e+03
72,2.3752369813e+03
73,2.4127894490e+03
74,2.4508099566e+03
75,2.4892974982e+03
76,2.5282058643e+03
77,2.5674120275e+03
78,2.6069037521e+03
79,2.6467282290e+03
80,2.6869103644e+03
81,2.7274762249e+03
82,2.7684342361e+03
83,2.8097568424e+03
84,2.8514387733e+03
85,2.8934673301e+03
86,2.9358349677e+03
87,2.9785101850e+03
88,3.0214740632e+03
89,3.0647373969e+03
90,3.1083035521e+03
91,3.1521826787e+03
92,3.1963749202e+03
93,3.2408946320e+03
94,3.2857338848e+03
95,3.3309070339e+03
96,3.3764061499e+03
97,3.4222307315e+03
98,3.4683877061e+03
99,3.5148542873e+03
100,3.5616448308e+03
101,3.6087514069e+03
102,3.6561735145e+03
103,3.7038957957e+03
104,3.7519177494e+03
105,3.8002314460e+03
106,3.8488289561e+03
107,3.8977023501e+03
108,3.9468362701e+03
109,3.9962376433e+03
110,4.0458911119e+03
111,4.0957887814e+03
